[2022-09-05 13:56:10,138: INFO/MainProcess] Task services.tasks.start_web_scraping_indeed[d780cbed-219b-451b-8fbf-f09eb09d3201] received
[2022-09-05 13:56:18,987: INFO/ForkPoolWorker-1] None Professional Development Specialist – McKinsey Digital (Buil... has been added to the database
[2022-09-05 13:56:18,988: INFO/ForkPoolWorker-1] None Office Services Coordinator has been added to the database
[2022-09-05 13:56:18,989: INFO/ForkPoolWorker-1] None Data Analyst has been added to the database
[2022-09-05 13:56:18,989: INFO/ForkPoolWorker-1] None Engagement Services Administrator - with Portuguese or Manda... has been added to the database
[2022-09-05 13:56:18,990: INFO/ForkPoolWorker-1] None Knowledge Analyst - Delivery Modernization Hub - McKinsey Di... has been added to the database
[2022-09-05 13:56:18,990: INFO/ForkPoolWorker-1] None Professional Development Manager – McKinsey Digital (Build H... has been added to the database
[2022-09-05 13:56:18,991: INFO/ForkPoolWorker-1] None Senior Implementation Facilitator - FIG, McKinsey Implementa... has been added to the database
[2022-09-05 13:56:18,991: INFO/ForkPoolWorker-1] None Business Presentation Specialist (Trainee) has been added to the database
[2022-09-05 13:56:18,992: INFO/ForkPoolWorker-1] None Professional Development Manager - McKinsey Transformation has been added to the database
[2022-09-05 13:56:18,992: INFO/ForkPoolWorker-1] None Receptionist has been added to the database
[2022-09-05 13:56:18,992: INFO/ForkPoolWorker-1] None Solution Delivery Analyst - Catalyst Zero has been added to the database
[2022-09-05 13:56:18,993: INFO/ForkPoolWorker-1] None Professional Development Manager - McKinsey Digital has been added to the database
[2022-09-05 13:56:18,993: INFO/ForkPoolWorker-1] None Senior Finance Associate - Payments has been added to the database
[2022-09-05 13:56:18,994: INFO/ForkPoolWorker-1] None Investment Operations Manager and Trust Associate has been added to the database
[2022-09-05 13:56:18,994: INFO/ForkPoolWorker-1] None Research Science Analyst - Panorama Financial Institutions C... has been added to the database
[2022-09-05 13:56:18,994: INFO/ForkPoolWorker-1] None is not active
[2022-09-05 13:56:18,995: INFO/ForkPoolWorker-1] Task services.tasks.start_web_scraping_indeed[d780cbed-219b-451b-8fbf-f09eb09d3201] succeeded in 8.855316504021175s: None
[2022-09-05 13:59:11,970: INFO/MainProcess] Connected to redis://localhost:6379//
[2022-09-05 13:59:11,976: INFO/MainProcess] mingle: searching for neighbors
[2022-09-05 13:59:12,987: INFO/MainProcess] mingle: all alone
[2022-09-05 13:59:13,011: WARNING/MainProcess] /run/media/oyewunmio/STORAGE/System-Application/anaconda3/envs/Django_env/lib/python3.10/site-packages/celery/fixups/django.py:203: UserWarning: Using settings.DEBUG leads to a memory
            leak, never use this setting in production environments!
  warnings.warn('''Using settings.DEBUG leads to a memory

[2022-09-05 13:59:13,011: INFO/MainProcess] celery@Asteria ready.
[2022-09-05 14:00:25,896: INFO/MainProcess] Task services.tasks.start_web_scraping_indeed[67c2fe55-717b-42c8-a58d-c1531558176c] received
[2022-09-05 14:00:31,985: INFO/ForkPoolWorker-1] 4 Professional Development Specialist – McKinsey Digital (Buil... has been added to the database
[2022-09-05 14:00:32,117: INFO/ForkPoolWorker-1] 5 Office Services Coordinator has been added to the database
[2022-09-05 14:00:32,249: INFO/ForkPoolWorker-1] 6 Data Analyst has been added to the database
[2022-09-05 14:00:32,387: INFO/ForkPoolWorker-1] 7 Engagement Services Administrator - with Portuguese or Manda... has been added to the database
[2022-09-05 14:00:32,519: INFO/ForkPoolWorker-1] 8 Knowledge Analyst - Delivery Modernization Hub - McKinsey Di... has been added to the database
[2022-09-05 14:00:32,685: INFO/ForkPoolWorker-1] 9 Professional Development Manager – McKinsey Digital (Build H... has been added to the database
[2022-09-05 14:00:32,838: INFO/ForkPoolWorker-1] 10 Senior Implementation Facilitator - FIG, McKinsey Implementa... has been added to the database
[2022-09-05 14:00:32,982: INFO/ForkPoolWorker-1] 11 Business Presentation Specialist (Trainee) has been added to the database
[2022-09-05 14:00:33,137: INFO/ForkPoolWorker-1] 12 Professional Development Manager - McKinsey Transformation has been added to the database
[2022-09-05 14:00:33,285: INFO/ForkPoolWorker-1] 13 Receptionist has been added to the database
[2022-09-05 14:00:33,432: INFO/ForkPoolWorker-1] 14 Solution Delivery Analyst - Catalyst Zero has been added to the database
[2022-09-05 14:00:34,748: INFO/ForkPoolWorker-1] 15 Professional Development Manager - McKinsey Digital has been added to the database
[2022-09-05 14:00:34,903: INFO/ForkPoolWorker-1] 16 Senior Finance Associate - Payments has been added to the database
[2022-09-05 14:00:35,386: INFO/ForkPoolWorker-1] 17 Investment Operations Manager and Trust Associate has been added to the database
[2022-09-05 14:00:35,529: INFO/ForkPoolWorker-1] 18 Research Science Analyst - Panorama Financial Institutions C... has been added to the database
[2022-09-05 14:00:35,529: INFO/ForkPoolWorker-1] None is not active
[2022-09-05 14:00:35,532: INFO/ForkPoolWorker-1] Task services.tasks.start_web_scraping_indeed[67c2fe55-717b-42c8-a58d-c1531558176c] succeeded in 9.633741003024625s: None
